# (c) Die Bundeswahlleiterin (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2025
# Bundestagswahl 2025, Zweitstimmen nach Gemeinden (Wahlbezirksstatistik, gemeinsam ausgezählte Briefwahl anteilig verteilt, geschätzt)
Gemeindeschlüssel;Gemeinde;Wahlberechtigte;Wählende;Gültige · Zweitstimmen;CDU · Zweitstimmen;CSU · Zweitstimmen;SPD · Zweitstimmen;AfD · Zweitstimmen;GRÜNE · Zweitstimmen;FDP · Zweitstimmen;Die Linke · Zweitstimmen;BSW · Zweitstimmen;FREIE WÄHLER · Zweitstimmen;Übrige · Zweitstimmen;Briefwahl;Auszählungseinheit;Enthält
14729245;Lossatal;4963;4110;4092;823;0;284;1920;108;112;291;360;120;74;eigene Auszählung;;
14729250;Machern;5414;4734;4709;1193;0;399;1630;278;197;397;402;85;128;eigene Auszählung;;
14729260;Markkleeberg, Stadt;19988;16839;16760;4113;0;2063;4060;1682;789;1955;1415;194;489;eigene Auszählung;;
14729270;Markranstädt, Stadt;13237;11117;11042;2605;0;1034;3971;562;398;1021;1037;141;273;eigene Auszählung;;
14729300;Naunhof, Stadt;7165;6153;6127;1440;0;556;2168;336;288;534;513;149;143;eigene Auszählung;;
14729320;Neukieritzsch;5732;4741;4718;1020;0;419;2044;135;135;390;379;88;108;eigene Auszählung;;
14729330;Otterwisch;1102;966;963;205;0;79;416;33;33;66;67;41;23;eigene Auszählung;;
14729340;Parthenstein;2905;2508;2488;562;0;188;987;106;102;188;221;79;55;eigene Auszählung;;
14729350;Pegau, Stadt;5321;4336;4313;1048;0;332;1638;207;125;388;361;83;131;eigene Auszählung;;
14729360;Regis-Breitingen, Stadt;3158;2509;2493;468;0;192;1188;56;71;197;195;64;62;eigene Auszählung;;
14729370;Rötha, Stadt;4903;4046;4021;888;0;333;1516;200;138;396;361;76;113;eigene Auszählung;;
14729380;Thallwitz;2914;2455;2441;462;0;134;1222;79;80;172;178;64;50;eigene Auszählung;;
14729400;Trebsen/Mulde, Stadt;3134;2536;2524;495;0;177;1145;83;57;197;210;93;67;eigene Auszählung;;
14729410;Wurzen, Stadt;13165;9859;9781;2032;0;791;4260;300;265;797;828;242;266;eigene Auszählung;;
14729430;Zwenkau, Stadt;7642;6432;6399;1589;0;557;2331;333;223;562;508;105;191;eigene Auszählung;;
14730010;Arzberg;1504;1204;1188;222;0;75;619;14;31;70;109;23;25;eigene Auszählung;;
14730020;Bad Düben, Stadt;6340;4998;4970;1049;0;450;1928;191;141;436;453;232;90;eigene Auszählung;;
14730030;Beilrode;3258;2662;2642;524;0;213;1272;62;74;180;208;61;48;eigene Auszählung;;
14730045;Belgern-Schildau, Stadt;6207;4935;4914;911;0;315;2510;123;122;316;397;124;96;eigene Auszählung;;
14730050;Cavertitz;1737;1493;1482;304;0;93;756;16;43;73;123;36;38;eigene Auszählung;;
14730060;Dahlen, Stadt;3396;2760;2742;586;0;219;1130;89;95;201;302;54;66;eigene Auszählung;;
14730070;Delitzsch, Stadt;20188;15638;15531;3379;0;1581;5915;527;479;1431;1409;332;478;eigene Auszählung;;
14730080;Doberschütz;3429;3010;2983;578;0;225;1361;94;118;184;286;74;63;eigene Auszählung;;
14730090;Dommitzsch, Stadt;1960;1531;1522;322;0;110;712;23;42;116;129;30;38;eigene Auszählung;;
14730100;Dreiheide;1729;1508;1496;314;0;109;723;31;53;91;111;41;23;eigene Auszählung;;
14730110;Eilenburg, Stadt;12614;9596;9519;1738;0;879;4189;301;285;802;863;178;284;eigene Auszählung;;
14730120;Elsnig;1125;929;924;183;0;72;464;16;40;55;65;13;16;eigene Auszählung;;
14730140;Jesewitz;2494;2157;2149;459;0;184;888;92;73;145;228;40;40;eigene Auszählung;;
14730150;Krostitz;3355;2975;2955;708;0;240;1171;110;123;229;243;49;82;eigene Auszählung;;
14730160;Laußig;2940;2464;2449;495;0;162;1212;54;61;136;200;91;38;eigene Auszählung;;
14730170;Liebschützberg;2352;1992;1977;448;0;121;998;33;44;98;164;26;45;eigene Auszählung;;
14730180;Löbnitz;1677;1427;1416;313;0;110;627;39;41;90;122;35;39;eigene Auszählung;;
14730190;Mockrehna;3869;3307;3281;598;0;178;1774;58;77;170;257;110;59;eigene Auszählung;;
14730200;Mügeln, Stadt;4693;3723;3690;786;0;269;1696;91;109;253;315;80;91;eigene Auszählung;;
14730210;Naundorf;1827;1572;1568;309;0;101;747;34;47;110;137;47;36;eigene Auszählung;;
14730230;Oschatz, Stadt;11413;8568;8509;1729;0;651;3789;239;211;748;748;172;222;eigene Auszählung;;
14730250;Rackwitz;4123;3405;3385;737;0;309;1317;150;85;328;280;62;117;eigene Auszählung;;
14730270;Schkeuditz, Stadt;14474;11374;11318;2453;0;1003;4340;571;381;1004;968;236;362;eigene Auszählung;;
14730280;Schönwölkau;2156;1794;1784;393;0;139;760;75;71;127;136;44;39;eigene Auszählung;;
14730300;Taucha, Stadt;12616;10614;10553;2469;0;990;3655;621;507;976;896;148;291;eigene Auszählung;;
14730310;Torgau, Stadt;15057;11306;11220;2123;0;1037;4905;332;373;980;935;193;342;eigene Auszählung;;
14730320;Trossin;1012;873;868;181;0;44;417;17;28;65;68;29;19;eigene Auszählung;;
14730330;Wermsdorf;4199;3414;3384;667;0;254;1522;116;78;281;305;74;87;eigene Auszählung;;
14730340;Wiedemar;4368;3696;3672;780;0;288;1638;118;118;245;334;63;88;eigene Auszählung;;
14730360;Zschepplin;2363;1980;1963;413;0;139;876;71;62;141;154;56;51;eigene Auszählung;;
15001000;Dessau-Roßlau, Stadt;62381;47611;47273;9825;0;5749;15537;2597;1588;5124;5404;641;808;eigene Auszählung;;
15002000;Halle (Saale), Stadt;177401;134968;133954;23019;0;17276;33999;13836;4599;23275;13425;1076;3449;eigene Auszählung;;
15003000;Magdeburg, Landeshauptstadt;179123;140733;139820;25582;0;18149;39141;11330;4381;19978;15860;1438;3961;eigene Auszählung;;
15081026;Apenburg-Winterfeld, Flecken;1325;1096;1086;206;0;130;418;28;37;110;128;11;18;eigene Auszählung;;
15081030;Arendsee (Altmark), Stadt;5446;4289;4254;766;0;481;1563;125;137;559;500;64;59;eigene Auszählung;;
15081045;Beetzendorf;2494;1878;1870;342;0;203;657;111;44;238;211;36;28;eigene Auszählung;;
15081095;Dähre;1151;918;913;148;0;116;343;42;47;107;84;17;9;eigene Auszählung;;
15081105;Diesdorf, Flecken;1827;1456;1448;268;0;196;529;81;45;142;151;19;17;eigene Auszählung;;
15081135;Gardelegen, Hansestadt;17839;13918;13813;2639;0;1652;5026;423;446;1559;1615;214;239;eigene Auszählung;;
15081225;Jübar;1248;1075;1069;206;0;129;426;32;33;100;121;10;12;eigene Auszählung;;
15081240;Kalbe (Milde), Stadt;5922;4705;4668;875;0;525;1754;119;144;581;518;71;81;eigene Auszählung;;
15081280;Klötze, Stadt;8090;6501;6471;1476;0;799;2203;215;200;633;698;129;118;eigene Auszählung;;
15081290;Kuhfelde;856;733;724;130;0;62;300;40;24;81;67;9;11;eigene Auszählung;;
15081440;Rohrberg;828;689;684;121;0;83;290;32;16;70;54;12;6;eigene Auszählung;;
15081455;Salzwedel, Hansestadt;18332;14015;13928;2565;0;1728;4712;503;388;1953;1685;187;207;eigene Auszählung;;
15081545;Wallstawe;696;573;569;110;0;59;221;31;18;59;47;16;8;eigene Auszählung;;
15082005;Aken (Elbe), Stadt;6091;4878;4824;896;0;494;1907;144;177;488;566;83;69;eigene Auszählung;;
15082015;Bitterfeld-Wolfen, Stadt;30118;21904;21724;4050;0;2457;8927;648;519;2124;2222;432;345;eigene Auszählung;;
15082180;Köthen (Anhalt), Stadt;19757;14274;14135;2625;0;1520;5337;447;419;1708;1669;174;236;eigene Auszählung;;
15082241;Muldestausee;9796;8152;8104;1687;0;748;3171;279;333;651;955;140;140;eigene Auszählung;;
15082256;Osternienburger Land;6862;5381;5318;1071;0;384;2369;111;180;470;561;87;85;eigene Auszählung;;
15082301;Raguhn-Jeßnitz, Stadt;7502;6221;6166;1046;0;513;3003;165;168;459;622;103;87;eigene Auszählung;;
15082340;Sandersdorf-Brehna, Stadt;12084;9638;9562;1920;0;940;3916;281;322;810;1044;156;173;eigene Auszählung;;
15082377;Südliches Anhalt, Stadt;10701;8643;8537;1614;0;722;3835;178;241;823;913;106;105;eigene Auszählung;;
15082430;Zerbst/Anhalt, Stadt;16782;12981;12884;2591;0;1335;5132;370;372;1048;1580;256;200;eigene Auszählung;;
15082440;Zörbig, Stadt;7613;6173;6107;1414;0;509;2474;164;187;467;650;133;109;eigene Auszählung;;
15083020;Altenhausen;861;729;724;154;0;84;282;19;14;73;82;11;5;eigene Auszählung;;
15083025;Am Großen Bruch;1680;1393;1377;282;0;127;656;19;28;93;137;13;22;eigene Auszählung;;
15083030;Angern;1582;1334;1329;256;0;131;530;31;45;126;169;19;22;eigene Auszählung;;
15083035;Ausleben;1345;1048;1042;182;0;78;529;10;24;89;106;10;14;eigene Auszählung;;
15083040;Barleben;7505;6489;6444;1334;0;708;2330;261;220;549;810;88;144;eigene Auszählung;;
15083060;Beendorf;659;521;516;110;0;49;221;8;18;39;56;4;11;eigene Auszählung;;
15083115;Bülstringen;714;621;614;148;0;53;232;13;16;58;64;16;14;eigene Auszählung;;
15083120;Burgstall;1232;1025;1016;221;0;66;470;18;25;67;109;21;19;eigene Auszählung;;
15083125;Calvörde;2788;2213;2198;403;0;245;886;55;62;212;267;34;34;eigene Auszählung;;
15083130;Colbitz;2775;2294;2280;415;0;242;966;75;64;204;262;23;29;eigene Auszählung;;
15083190;Eilsleben;3011;2406;2385;491;0;290;846;58;73;238;330;26;33;eigene Auszählung;;
15083205;Erxleben;2265;1872;1858;350;0;170;764;50;32;195;231;30;36;eigene Auszählung;;
15083230;Flechtingen;2221;1806;1796;384;0;213;657;53;43;177;217;24;28;eigene Auszählung;;
15083245;Gröningen, Stadt;2905;2268;2240;366;0;262;1016;46;35;207;243;21;44;eigene Auszählung;;
15083270;Haldensleben, Stadt;14913;11222;11139;2111;0;1320;4266;344;262;1134;1323;167;212;eigene Auszählung;;
15083275;Harbke;1134;946;935;163;0;137;368;25;26;67;111;22;16;eigene Auszählung;;
15083298;Hohe Börde;15244;12518;12451;2626;0;1187;5019;398;423;1092;1293;167;246;eigene Auszählung;;
15083320;Hötensleben;2864;2219;2196;440;0;263;898;36;49;216;234;30;30;eigene Auszählung;;
15083323;Ingersleben;1078;860;851;147;0;85;389;14;27;65;94;16;14;eigene Auszählung;;
15083355;Kroppenstedt, Stadt;1085;880;871;163;0;63;443;19;28;54;83;13;5;eigene Auszählung;;
15083361;Loitsche-Heinrichsberg;769;623;617;129;0;60;264;15;19;42;67;9;12;eigene Auszählung;;
15083390;Niedere Börde;5616;4666;4644;932;0;477;1856;122;119;409;566;63;100;eigene Auszählung;;
15083411;Oebisfelde-Weferlingen, Stadt;10927;8916;8850;1843;0;1121;3217;281;247;939;880;114;208;eigene Auszählung;;
15083415;Oschersleben (Bode), Stadt;15381;11539;11423;2063;0;1359;4852;259;280;994;1279;151;186;eigene Auszählung;;
15083440;Rogätz;1766;1468;1457;304;0;125;634;28;31;121;171;20;23;eigene Auszählung;;
15083485;Sommersdorf;1089;890;883;163;0;86;390;31;27;74;97;9;6;eigene Auszählung;;
15083490;Sülzetal;7302;6062;6013;1249;0;635;2357;190;203;473;719;78;109;eigene Auszählung;;
15083505;Ummendorf;753;610;607;145;0;54;217;25;26;44;79;8;9;eigene Auszählung;;
15083515;Völpke;984;765;754;133;0;87;325;13;12;64;98;12;10;eigene Auszählung;;
15083531;Wanzleben-Börde, Stadt;11427;9213;9137;1806;0;913;3796;222;329;793;1017;114;147;eigene Auszählung;;
15083535;Wefensleben;1316;1050;1037;199;0;110;433;18;27;108;124;8;10;eigene Auszählung;;
15083557;Westheide;1415;1175;1168;232;0;121;508;22;34;81;146;15;9;eigene Auszählung;;
15083565;Wolmirstedt, Stadt;9536;7548;7492;1362;0;905;2815;262;225;735;920;90;178;eigene Auszählung;;
15083580;Zielitz;1498;1230;1226;266;0;137;452;33;38;107;148;17;28;eigene Auszählung;;
15084012;An der Poststraße;1332;1100;1094;224;0;76;527;17;24;60;144;14;8;eigene Auszählung;;
15084013;Meineweh;791;653;651;103;0;66;309;8;15;51;82;9;8;eigene Auszählung;;
15084015;Bad Bibra, Stadt;2148;1622;1611;333;0;133;654;39;71;125;219;19;18;eigene Auszählung;;
15084025;Balgstädt;876;731;724;137;0;61;342;18;26;45;76;11;8;eigene Auszählung;;
15084115;Droyßig;1520;1263;1259;269;0;106;501;43;53;98;145;19;25;eigene Auszählung;;
15084125;Eckartsberga, Stadt;1896;1463;1455;261;0;120;718;39;36;91;143;25;22;eigene Auszählung;;
15084130;Elsteraue;6630;5447;5424;952;0;405;2481;107;179;445;639;133;83;eigene Auszählung;;
15084132;Finne;942;768;763;149;0;57;346;15;25;54;96;15;6;eigene Auszählung;;
15084133;Finneland;862;725;721;143;0;69;283;17;33;58;102;4;12;eigene Auszählung;;
15084135;Freyburg (Unstrut), Stadt;3897;2935;2905;552;0;290;1130;74;119;224;410;62;44;eigene Auszählung;;
15084150;Gleina;958;779;774;165;0;90;291;19;21;59;97;20;12;eigene Auszählung;;
15084170;Goseck;805;695;690;150;0;60;281;18;19;48;93;9;12;eigene Auszählung;;
15084207;Gutenborn;1443;1229;1223;244;0;76;552;34;56;71;141;26;23;eigene Auszählung;;
15084235;Hohenmölsen, Stadt;7846;6116;6065;1172;0;517;2660;111;208;571;665;80;81;eigene Auszählung;;
15084246;Kaiserpfalz;1257;1010;1004;163;0;129;450;25;20;69;114;16;18;eigene Auszählung;;
15084250;Karsdorf;1137;860;848;167;0;71;332;16;23;92;122;11;14;eigene Auszählung;;
15084275;Kretzschau;1982;1593;1587;248;0;113;777;29;53;128;191;33;15;eigene Auszählung;;
15084282;Lanitz-Hassel-Tal;839;679;674;140;0;58;292;13;17;50;89;8;7;eigene Auszählung;;
15084285;Laucha an der Unstrut, Stadt;2263;1795;1783;373;0;160;778;37;51;123;199;36;26;eigene Auszählung;;
15084315;Lützen, Stadt;6930;5694;5654;1036;0;449;2569;160;171;450;655;77;87;eigene Auszählung;;
15084335;Mertendorf;1280;1043;1040;182;0;69;476;27;42;66;144;12;22;eigene Auszählung;;
15084341;Molauer Land;817;668;664;106;0;57;289;13;17;51;97;20;14;eigene Auszählung;;
15084355;Naumburg (Saale), Stadt;25981;19800;19647;3839;0;1935;7269;905;713;2014;2284;288;400;eigene Auszählung;;
15084360;Nebra (Unstrut), Stadt;2443;1917;1897;331;0;165;920;25;40;149;216;32;19;eigene Auszählung;;
15084375;Osterfeld, Stadt;1933;1583;1573;336;0;137;670;18;52;141;174;28;17;eigene Auszählung;;
15084442;Schnaudertal;741;645;641;93;0;36;372;6;20;43;52;8;11;eigene Auszählung;;
15084445;Schönburg;829;718;714;152;0;37;313;25;39;45;74;14;15;eigene Auszählung;;
15084470;Stößen, Stadt;734;561;556;133;0;43;228;11;20;33;68;14;6;eigene Auszählung;;
15084490;Teuchern, Stadt;6482;5025;4989;807;0;368;2533;100;147;317;558;96;63;eigene Auszählung;;
15084550;Weißenfels, Stadt;28624;21699;21530;4118;0;1994;9076;580;653;1972;2477;275;385;eigene Auszählung;;
15084560;Wethau;727;587;583;112;0;32;265;15;17;46;79;6;11;eigene Auszählung;;
15084565;Wetterzeube;1403;1181;1171;205;0;71;547;33;36;117;127;19;16;eigene Auszählung;;
15084590;Zeitz, Stadt;21658;15471;15340;2718;0;1470;6701;376;480;1402;1689;262;242;eigene Auszählung;;
15085040;Ballenstedt, Stadt;7259;5713;5662;1058;0;623;2179;182;148;600;666;84;122;eigene Auszählung;;
15085055;Blankenburg (Harz), Stadt;16053;12426;12342;2504;0;1321;4635;394;336;1185;1556;152;259;eigene Auszählung;;
15085090;Ditfurt;1225;1010;1000;190;0;74;438;32;29;102;103;14;18;eigene Auszählung;;
15085110;Falkenstein/Harz, Stadt;4270;3401;3360;639;0;323;1379;97;83;307;389;85;58;eigene Auszählung;;
15085125;Groß Quenstedt;747;587;582;114;0;54;232;17;16;50;78;14;7;eigene Auszählung;;
15085135;Halberstadt, Stadt;31017;22808;22656;4432;0;2516;8388;871;560;2449;2720;272;448;eigene Auszählung;;
15085140;Harsleben / Harschlewe;1831;1509;1494;251;0;161;633;40;41;126;192;26;24;eigene Auszählung;;
15085145;Harzgerode, Stadt;6298;4900;4863;976;0;546;1945;117;109;450;575;69;76;eigene Auszählung;;
15085160;Hedersleben;1081;833;822;129;0;85;404;14;29;52;83;9;17;eigene Auszählung;;
15085185;Huy;5747;4446;4408;862;0;437;1805;105;101;393;539;72;94;eigene Auszählung;;
15085190;Ilsenburg (Harz), Stadt;7871;6489;6441;1402;0;1012;1869;311;191;663;739;110;144;eigene Auszählung;;
15085227;Nordharz;6330;5353;5318;1136;0;601;2011;176;113;464;620;88;109;eigene Auszählung;;
15085228;Oberharz am Brocken, Stadt;8443;6632;6581;1331;0;706;2646;152;159;509;830;114;134;eigene Auszählung;;
15085230;Osterwieck, Stadt;9154;7375;7318;1460;0;887;2834;261;187;675;769;112;133;eigene Auszählung;;
15085235;Quedlinburg, Welterbestadt;19620;14596;14485;2636;0;1766;4919;854;477;1618;1702;159;354;eigene Auszählung;;
15085285;Schwanebeck, Stadt;1993;1529;1514;252;0;106;780;28;28;136;131;23;30;eigene Auszählung;;
15085287;Selke-Aue;1129;940;933;165;0;102;407;26;32;70;107;12;12;eigene Auszählung;;
15085330;Thale, Stadt;14182;10735;10633;2007;0;1122;4136;357;313;1137;1180;165;216;eigene Auszählung;;
15085365;Wegeleben, Stadt;2062;1540;1522;295;0;130;598;38;32;143;239;26;21;eigene Auszählung;;
15085370;Wernigerode, Stadt;26232;20619;20464;4254;0;2878;5980;1190;629;2318;2398;289;528;eigene Auszählung;;
15086005;Biederitz;7063;5960;5924;1368;0;724;1811;319;238;526;739;84;115;eigene Auszählung;;
15086015;Burg, Stadt;18169;13459;13330;2508;0;1458;5415;382;305;1305;1533;184;240;eigene Auszählung;;
15086035;Elbe-Parey;5394;4305;4261;831;0;524;1632;102;87;404;536;71;74;eigene Auszählung;;
15086040;Genthin, Stadt;11170;8336;8278;1540;0;1006;3013;256;229;870;1110;118;136;eigene Auszählung;;
15086055;Gommern, Stadt;8585;7096;7037;1405;0;839;2546;248;235;594;911;129;130;eigene Auszählung;;
15086080;Jerichow, Stadt;5607;4512;4477;788;0;476;1862;115;129;422;548;77;60;eigene Auszählung;;
15086140;Möckern, Stadt;10291;8322;8243;1732;0;769;3336;259;248;686;989;112;112;eigene Auszählung;;
15086145;Möser;6967;6013;5984;1479;0;625;1917;268;224;546;739;96;90;eigene Auszählung;;
15087010;Ahlsdorf;1281;1040;1032;182;0;82;492;28;33;74;109;22;10;eigene Auszählung;;
15087015;Allstedt, Stadt;6335;4998;4963;859;0;472;2205;111;154;440;588;73;61;eigene Auszählung;;
15087031;Arnstein, Stadt;5320;4227;4190;783;0;392;1873;66;104;338;513;71;50;eigene Auszählung;;
15087045;Benndorf;1649;1158;1141;222;0;126;481;19;32;113;121;12;15;eigene Auszählung;;
15087055;Berga;1354;1065;1059;223;0;110;467;9;36;72;122;10;10;eigene Auszählung;;
15087070;Blankenheim;981;812;805;135;0;73;376;13;33;58;90;20;7;eigene Auszählung;;
15087075;Bornstedt;659;502;496;89;0;40;231;15;17;33;54;9;8;eigene Auszählung;;
15087101;Brücken-Hackpfüffel;830;686;679;115;0;86;309;17;13;51;72;9;7;eigene Auszählung;;
15087125;Edersleben;786;666;661;143;0;55;280;10;22;51;88;6;6;eigene Auszählung;;
15087130;Eisleben, Lutherstadt;18046;13011;12879;2149;0;1224;5813;276;453;1175;1435;170;184;eigene Auszählung;;
15087165;Gerbstedt, Stadt;5701;4482;4419;720;0;382;2156;94;131;358;482;52;44;eigene Auszählung;;
15087205;Helbra;3231;2469;2457;427;0;207;1133;43;58;231;307;27;24;eigene Auszählung;;
15087210;Hergisdorf;1275;984;977;156;0;93;462;15;25;68;133;17;8;eigene Auszählung;;
15087220;Hettstedt, Stadt;10851;7827;7751;1243;0;869;3451;134;223;708;959;85;79;eigene Auszählung;;
15087250;Kelbra (Kyffhäuser), Stadt;2749;2140;2122;351;0;217;906;55;62;208;262;29;32;eigene Auszählung;;
